,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Total_Usage_Time,Entertainment_Index,Spend_Ratio,Age_Group,Usage per App,Data Usage per Hour,Call Duration per Day (hrs)
0,53,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,Education,16.9,4.4,0.5833333333333334,Middle Aged,0.035576923076923075,0.2153153153153153,0.6316666666666666
1,60,Other,Delhi,Realme,iOS,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,Gaming,17.5,2.766666666666667,3.272429600523903,Middle Aged,0.054437869822485205,0.10181159420289855,0.22833333333333333
2,37,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,Entertainment,12.1,2.533333333333333,1.469753086419753,Adult,0.046875,0.09111111111111111,1.1133333333333333
3,32,Male,Pune,Samsung,Android,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,Entertainment,19.7,2.9,0.7591287636130686,Adult,0.07534246575342465,0.07757575757575758,2.603333333333333
4,16,Male,Mumbai,Xiaomi,iOS,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,Social Media,13.399999999999999,3.733333333333333,0.1426648721399731,Teen,0.025581395348837212,0.03787878787878788,3.9366666666666665
5,21,Male,Jaipur,Oppo,iOS,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,Entertainment,15.0,3.1999999999999997,3.5914285714285716,Young Adult,0.21600000000000003,0.0654320987654321,3.51
6,57,Female,Lucknow,Apple,iOS,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,Social Media,12.0,1.9999999999999998,2.4702048417132216,Middle Aged,0.04878048780487805,0.19555555555555557,2.575
7,56,Other,Kolkata,Realme,iOS,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,Entertainment,15.600000000000001,4.166666666666667,8.590149516270888,Middle Aged,0.01648936170212766,0.46774193548387094,2.0883333333333334
8,46,Female,Kolkata,Oppo,Android,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,Entertainment,17.9,4.199999999999999,2.2886762360446573,Middle Aged,0.02731958762886598,0.2918238993710692,0.35500000000000004
9,44,Other,Kolkata,Apple,iOS,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,Education,22.699999999999996,4.266666666666667,54.396449704142015,Adult,0.11785714285714285,0.03569023569023569,3.003333333333333
10,55,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,Work,8.2,2.1999999999999997,8.489535941765242,Middle Aged,0.05925925925925926,0.49374999999999997,3.2
11,41,Female,Delhi,Oppo,Android,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,Social Media,14.600000000000001,2.3666666666666667,4.230263157894737,Adult,0.040106951871657755,0.10444444444444445,1.415
12,53,Male,Bangalore,Realme,iOS,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,Education,23.599999999999998,4.366666666666666,32.58921161825726,Middle Aged,0.07664233576642336,0.0044444444444444444,0.5616666666666668
13,35,Male,Jaipur,Realme,Android,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,Social Media,23.8,4.5,3.4398766700924974,Adult,0.08306451612903226,0.10485436893203882,4.118333333333333
14,33,Female,Jaipur,Samsung,iOS,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,Entertainment,9.4,2.566666666666667,3.0420248328557786,Adult,0.014049586776859503,0.6509803921568628,3.48
15,52,Male,Bangalore,Google Pixel,Android,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,Work,18.4,4.433333333333333,3.4887005649717513,Middle Aged,0.03167701863354037,0.18627450980392157,2.82
16,46,Other,Mumbai,Apple,Android,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,Education,12.200000000000001,3.0333333333333337,3.7154761904761906,Middle Aged,0.016939890710382516,0.2537634408602151,2.565
17,54,Male,Kolkata,Apple,Android,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,Entertainment,21.5,3.3000000000000003,3.410727406318883,Middle Aged,0.1870967741935484,0.036206896551724134,3.506666666666667
18,50,Female,Chennai,Google Pixel,Android,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,Work,11.7,2.1333333333333333,0.6829268292682927,Middle Aged,0.028191489361702127,0.03270440251572327,3.9266666666666667
19,40,Other,Hyderabad,Motorola,iOS,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,Work,21.1,4.033333333333333,6.540408163265306,Adult,0.14516129032258066,0.14407407407407408,4.826666666666667
20,60,Male,Pune,Samsung,iOS,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,Social Media,21.5,3.6999999999999997,1.6378205128205128,Middle Aged,0.09454545454545454,0.14743589743589744,0.6333333333333333
21,59,Other,Pune,Xiaomi,Android,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,Gaming,24.200000000000003,4.166666666666667,5.769574944071588,Middle Aged,0.11584158415841583,0.025925925925925925,3.3983333333333334
22,46,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,Social Media,19.9,3.9333333333333336,1.9733333333333334,Middle Aged,0.10519480519480519,0.06378600823045268,3.4466666666666668
23,16,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,Gaming,6.2,1.5999999999999999,1.0,Teen,0.009929078014184396,0.6071428571428571,3.7
24,29,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,Education,13.5,2.1666666666666665,2.2545454545454544,Young Adult,0.05384615384615385,0.1985714285714286,0.85
